tracking_id,datetime,x,y
1,2025-01-21 23:12:20.786382,19.644603729248047,443.7275085449219
1,2025-01-21 23:12:20.809202,18.24802017211914,442.13226318359375
1,2025-01-21 23:12:20.830394,18.44629669189453,442.8791198730469
1,2025-01-21 23:12:20.848987,13.903053283691406,434.84552001953125
1,2025-01-21 23:12:20.872379,19.073894500732422,444.9277648925781
1,2025-01-21 23:12:20.897620,7.1420817375183105,445.7234802246094
1,2025-01-21 23:12:20.916339,7.826177597045898,442.3408508300781
1,2025-01-21 23:12:20.936390,9.365732192993164,444.56976318359375
1,2025-01-21 23:12:20.956140,7.515476226806641,442.6299743652344
1,2025-01-21 23:12:20.973568,3.226367712020874,435.8959655761719
1,2025-01-21 23:12:21.022419,4.16172981262207,444.11578369140625
1,2025-01-21 23:12:21.339411,17.981996536254883,484.61822509765625
